ResourceName,ResourceGroup,SubscriptionName,Environment,ResourceType,Cost,Currency,UsageDate,Owner,TagsStatus
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,112.67,BRL,2026-05-01,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,241.12,BRL,2026-05-01,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,221.60,BRL,2026-05-01,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,188.69,BRL,2026-05-01,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,77.51,BRL,2026-05-01,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,48.28,BRL,2026-05-01,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,65.22,BRL,2026-05-01,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,125.82,BRL,2026-05-01,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,83.75,BRL,2026-05-01,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,37.35,BRL,2026-05-01,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,95.48,BRL,2026-05-02,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,234.14,BRL,2026-05-02,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,197.92,BRL,2026-05-02,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,280.96,BRL,2026-05-02,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,48.97,BRL,2026-05-02,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,41.42,BRL,2026-05-02,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,117.19,BRL,2026-05-02,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,175.33,BRL,2026-05-02,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,138.57,BRL,2026-05-02,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,36.09,BRL,2026-05-02,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,160.30,BRL,2026-05-03,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,229.33,BRL,2026-05-03,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,247.47,BRL,2026-05-03,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,217.42,BRL,2026-05-03,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,50.72,BRL,2026-05-03,unknown,MissingTags
